latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
49.3388,135.3206,367.9,2.5,1.5,2000-11-01,0136,Terra,MODIS,100,6.2,282.8,418.4,D,0
49.3371,135.3552,339.6,2.5,1.5,2000-11-01,0136,Terra,MODIS,92,6.2,278.1,169.6,D,0
49.3353,135.3896,323.8,2.5,1.5,2000-11-01,0136,Terra,MODIS,83,6.2,277.1,91.8,D,0
49.325,135.319,357.8,2.5,1.5,2000-11-01,0136,Terra,MODIS,99,6.2,280.7,306.3,D,0
49.3233,135.3536,377.8,2.5,1.5,2000-11-01,0136,Terra,MODIS,100,6.2,282.5,550,D,0
49.3112,135.3177,327.4,2.5,1.5,2000-11-01,0136,Terra,MODIS,66,6.2,279.2,98.3,D,0
49.3095,135.3524,350.7,2.5,1.5,2000-11-01,0136,Terra,MODIS,96,6.2,280.5,244.5,D,0
49.333,135.3127,341.5,2.5,1.5,2000-11-01,0136,Terra,MODIS,68,6.2,280.8,165,D,0
49.3173,135.3458,394,2.5,1.5,2000-11-01,0136,Terra,MODIS,100,6.2,286.9,828.4,D,0
48.9145,136.0406,320.4,2.3,1.5,2000-11-01,0137,Terra,MODIS,61,6.2,277.1,70.9,D,0
48.9163,136.065,302,2.3,1.5,2000-11-01,0137,Terra,MODIS,0,6.2,276.1,26.6,D,0
48.7782,134.2211,320.7,2.8,1.6,2000-11-01,0137,Terra,MODIS,80,6.2,278,98.4,D,0
48.6746,133.8483,309.2,3,1.6,2000-11-01,0137,Terra,MODIS,68,6.2,278.5,60,D,0
48.675,133.8409,311.5,3,1.6,2000-11-01,0137,Terra,MODIS,71,6.2,278.8,67.8,D,0
48.5844,133.8742,316.8,2.9,1.6,2000-11-01,0137,Terra,MODIS,77,6.2,278,88.4,D,0
48.5843,133.868,316.8,2.9,1.6,2000-11-01,0137,Terra,MODIS,77,6.2,278.1,88.3,D,0
48.4488,134.2885,314.6,2.8,1.6,2000-11-01,0137,Terra,MODIS,65,6.2,277.8,69.2,D,0
48.4615,134.2823,304.3,2.8,1.6,2000-11-01,0137,Terra,MODIS,51,6.2,278.5,39.8,D,0
48.4326,134.2796,328.7,2.8,1.6,2000-11-01,0137,Terra,MODIS,65,6.2,278.7,126.3,D,0
48.4198,134.2401,303.5,2.8,1.6,2000-11-01,0137,Terra,MODIS,22,6.2,278.9,31.9,D,0
48.4181,134.2783,380.8,2.8,1.6,2000-11-01,0137,Terra,MODIS,94,6.2,283.9,709.8,D,0
48.4164,134.3162,328.4,2.8,1.6,2000-11-01,0137,Terra,MODIS,81,6.2,278.2,128.8,D,0
48.3958,134.1221,306.7,2.8,1.6,2000-11-01,0137,Terra,MODIS,56,6.2,279.1,43.1,D,0
48.3944,134.116,307.6,2.8,1.6,2000-11-01,0137,Terra,MODIS,54,6.2,279,46.1,D,0
48.3868,132.7653,327.8,3.4,1.7,2000-11-01,0137,Terra,MODIS,85,6.2,279.5,172.5,D,0
48.3767,132.7569,316.3,3.4,1.7,2000-11-01,0137,Terra,MODIS,77,6.2,278.8,103.7,D,0
48.2571,133.064,317,3.2,1.7,2000-11-01,0137,Terra,MODIS,77,6.2,279.5,98.2,D,0
48.2556,133.1078,345,3.2,1.7,2000-11-01,0137,Terra,MODIS,94,6.2,280.5,300.2,D,0
48.239,133.5747,318.4,3,1.7,2000-11-01,0137,Terra,MODIS,68,6.2,279.9,94.3,D,0
48.2374,133.6158,368.5,3,1.7,2000-11-01,0137,Terra,MODIS,75,6.2,283,567.6,D,0
48.2359,133.6567,383.3,3,1.6,2000-11-01,0137,Terra,MODIS,0,6.2,282.7,829.1,D,0
48.2607,133.0584,307.9,3.2,1.7,2000-11-01,0137,Terra,MODIS,66,6.2,279.4,60.3,D,0
48.259,133.1022,350.4,3.2,1.7,2000-11-01,0137,Terra,MODIS,96,6.2,281.1,358.7,D,0
48.2217,133.6497,301.9,3,1.6,2000-11-01,0137,Terra,MODIS,0,6.2,277.4,33.9,D,0
48.1704,132.4626,302.6,3.5,1.8,2000-11-01,0137,Terra,MODIS,53,6.2,279,50.4,D,0
45.6689,133.7918,300.4,2.8,1.6,2000-11-01,0137,Terra,MODIS,37,6.2,279,31.2,D,0
49.9678,136.8309,307.7,3.7,1.8,2000-11-01,0314,Terra,MODIS,0,6.2,276.8,78.6,D,0
49.3273,135.3184,335.1,3.3,1.7,2000-11-01,0314,Terra,MODIS,70,6.2,278.5,200.8,D,0
49.3251,135.2662,346.7,3.3,1.7,2000-11-01,0314,Terra,MODIS,95,6.2,281.5,315.7,D,0
49.3295,135.2618,340,3.3,1.7,2000-11-01,0314,Terra,MODIS,65,6.2,280.8,242.1,D,0
49.2486,135.3093,321.1,3.3,1.7,2000-11-01,0314,Terra,MODIS,81,6.2,279.2,125.4,D,0
49.2366,135.3518,310.1,3.4,1.7,2000-11-01,0314,Terra,MODIS,70,6.2,277.4,73,D,0
50.9449,128.2329,315.5,1.4,1.2,2000-11-01,0314,Terra,MODIS,72,6.2,277.3,27.8,D,0
49.2343,135.2998,325.6,3.3,1.7,2000-11-01,0314,Terra,MODIS,84,6.2,279.2,147,D,0
49.2223,135.3423,305.5,3.4,1.7,2000-11-01,0314,Terra,MODIS,26,6.2,277.4,49.1,D,0
50.9348,128.2278,301.1,1.4,1.2,2000-11-01,0314,Terra,MODIS,35,6.2,277.4,11,D,0
49.2384,135.2981,337.2,3.3,1.7,2000-11-01,0314,Terra,MODIS,90,6.2,280,235.2,D,0
49.2266,135.3409,327.1,3.4,1.7,2000-11-01,0314,Terra,MODIS,85,6.2,278,157.5,D,0
48.9107,136.0849,301.5,3.7,1.8,2000-11-01,0314,Terra,MODIS,0,6.2,274,53,D,0
48.9048,136.0736,303.4,3.7,1.8,2000-11-01,0314,Terra,MODIS,0,6.2,274.1,57.1,D,0
50.6592,128.4518,300.6,1.4,1.2,2000-11-01,0314,Terra,MODIS,40,6.2,277.6,12.2,D,0
50.6161,128.3872,335.9,1.4,1.2,2000-11-01,0314,Terra,MODIS,90,6.2,280.4,66.4,D,0
50.6059,128.382,321.7,1.4,1.2,2000-11-01,0314,Terra,MODIS,81,6.2,279.9,37.9,D,0
50.6128,128.3789,337.1,1.4,1.2,2000-11-01,0314,Terra,MODIS,90,6.2,281.4,71,D,0
50.6089,128.3983,310.3,1.4,1.2,2000-11-01,0314,Terra,MODIS,70,6.2,279.7,21.2,D,0
50.3833,127.9926,302.9,1.4,1.2,2000-11-01,0314,Terra,MODIS,54,6.2,279.3,13.5,D,0
50.3558,127.5448,319.3,1.3,1.1,2000-11-01,0315,Terra,MODIS,79,6.2,278.5,32.2,D,0
48.7733,134.1951,313.1,3.1,1.7,2000-11-01,0315,Terra,MODIS,73,6.2,278.5,75.4,D,0
48.7627,134.234,309.1,3.1,1.7,2000-11-01,0315,Terra,MODIS,59,6.2,276.9,60.5,D,0
48.7744,134.1908,310,3.1,1.7,2000-11-01,0315,Terra,MODIS,39,6.2,278,55.3,D,0
48.764,134.2298,312.2,3.1,1.7,2000-11-01,0315,Terra,MODIS,34,6.2,277.2,62.8,D,0
49.9663,128.8652,327.5,1.6,1.2,2000-11-01,0315,Terra,MODIS,85,6.2,280,55.4,D,0
49.9619,128.8861,327.2,1.6,1.2,2000-11-01,0315,Terra,MODIS,85,6.2,279.6,54.8,D,0
50.0274,128.2851,303,1.5,1.2,2000-11-01,0315,Terra,MODIS,54,6.2,280.8,14,D,0
48.6807,133.8152,302.4,3,1.6,2000-11-01,0315,Terra,MODIS,52,6.2,279.7,38.1,D,0
48.6707,133.8527,300.7,3,1.6,2000-11-01,0315,Terra,MODIS,40,6.2,278.7,33.4,D,0
48.6705,133.8477,303.6,3,1.6,2000-11-01,0315,Terra,MODIS,56,6.2,278.9,38,D,0
49.8563,128.7052,310.9,1.6,1.2,2000-11-01,0315,Terra,MODIS,71,6.2,280.3,25.2,D,0
48.6055,133.8515,311.3,3,1.6,2000-11-01,0315,Terra,MODIS,71,6.2,279,65.1,D,0
48.5954,133.8892,315.4,3,1.6,2000-11-01,0315,Terra,MODIS,76,6.2,279.2,81.9,D,0
48.672,133.4223,300.5,2.8,1.6,2000-11-01,0315,Terra,MODIS,34,6.2,280.2,27.8,D,0
48.6625,133.4582,365.3,2.8,1.6,2000-11-01,0315,Terra,MODIS,100,6.2,283.7,474.4,D,0
48.6529,133.4943,391.5,2.9,1.6,2000-11-01,0315,Terra,MODIS,100,6.2,286.6,961,D,0
48.4156,134.3707,337.4,3.2,1.7,2000-11-01,0315,Terra,MODIS,0,6.2,278.6,205.3,D,0
48.6489,133.4501,343,2.8,1.6,2000-11-01,0315,Terra,MODIS,93,6.2,280.9,233.6,D,0
48.6393,133.4861,307.8,2.9,1.6,2000-11-01,0315,Terra,MODIS,66,6.2,279.4,46.7,D,0
48.6615,133.4505,349.9,2.8,1.6,2000-11-01,0315,Terra,MODIS,96,6.2,282.6,294.1,D,0
48.6521,133.4867,395.3,2.9,1.6,2000-11-01,0315,Terra,MODIS,100,6.2,287,1051.8,D,0
48.419,134.366,338.1,3.2,1.7,2000-11-01,0315,Terra,MODIS,0,6.2,279.4,197.7,D,0
48.648,133.4423,325,2.8,1.6,2000-11-01,0315,Terra,MODIS,83,6.2,280.2,116,D,0
48.6385,133.4785,307.9,2.9,1.6,2000-11-01,0315,Terra,MODIS,66,6.2,279.5,47.9,D,0
48.4266,134.2769,321.9,3.2,1.7,2000-11-01,0315,Terra,MODIS,44,6.2,279.8,105.6,D,0
48.4158,134.3169,321.5,3.2,1.7,2000-11-01,0315,Terra,MODIS,40,6.2,279.8,99.2,D,0
49.6894,128.8215,303.9,1.6,1.2,2000-11-01,0315,Terra,MODIS,57,6.2,280.2,16.6,D,0
49.6993,127.8652,300.5,1.4,1.2,2000-11-01,0315,Terra,MODIS,36,6.2,280.4,10.4,D,0
49.6891,127.8602,311.3,1.4,1.2,2000-11-01,0315,Terra,MODIS,71,6.2,280,22.2,D,0
48.2346,133.6022,310,3,1.6,2000-11-01,0315,Terra,MODIS,60,6.2,280.6,55.7,D,0
48.249,133.6036,302.8,3,1.6,2000-11-01,0315,Terra,MODIS,15,6.2,280,32,D,0
48.3856,132.7774,317,2.7,1.6,2000-11-01,0315,Terra,MODIS,77,6.2,280.1,75,D,0
48.2684,133.1089,314.7,2.8,1.6,2000-11-01,0315,Terra,MODIS,59,6.2,281,64.6,D,0
48.2591,133.1444,345.1,2.8,1.6,2000-11-01,0315,Terra,MODIS,94,6.2,282.2,243.6,D,0
48.2496,133.1801,366.1,2.8,1.6,2000-11-01,0315,Terra,MODIS,87,6.2,283.9,477.5,D,0
47.7783,134.7777,310.5,3.5,1.8,2000-11-01,0315,Terra,MODIS,61,6.2,278.6,76.5,D,0
48.2664,133.1029,313.3,2.8,1.6,2000-11-01,0315,Terra,MODIS,73,6.2,280.9,61.9,D,0
48.2572,133.1385,336.2,2.8,1.6,2000-11-01,0315,Terra,MODIS,90,6.2,281.9,178.4,D,0
48.248,133.1743,367.4,2.8,1.6,2000-11-01,0315,Terra,MODIS,100,6.2,284.5,499.1,D,0
47.7845,134.7773,313.5,3.5,1.8,2000-11-01,0315,Terra,MODIS,56,6.2,278.6,97.2,D,0
48.1715,132.479,322.2,2.6,1.6,2000-11-01,0315,Terra,MODIS,81,6.2,280.5,94.4,D,0
48.1514,132.2365,302.7,2.6,1.5,2000-11-01,0315,Terra,MODIS,44,6.2,280.9,27.2,D,0
48.1432,132.269,368.8,2.6,1.5,2000-11-01,0315,Terra,MODIS,100,6.2,285.8,458.2,D,0
48.1302,132.2615,304.1,2.6,1.5,2000-11-01,0315,Terra,MODIS,53,6.2,280.8,30.9,D,0
47.9918,132.6824,305.3,2.7,1.6,2000-11-01,0315,Terra,MODIS,53,6.2,280.5,39.9,D,0
47.9887,132.6754,303.8,2.7,1.6,2000-11-01,0315,Terra,MODIS,43,6.2,280.5,36,D,0
48.1526,131.7281,310.1,2.4,1.5,2000-11-01,0315,Terra,MODIS,70,6.2,282,43.7,D,0
48.1459,131.7174,306.5,2.4,1.5,2000-11-01,0315,Terra,MODIS,64,6.2,281.8,32.3,D,0
47.1943,134.3202,300.7,3.5,1.8,2000-11-01,0315,Terra,MODIS,41,6.2,279.4,43.8,D,0
50.131,119.2541,306.8,1.1,1,2000-11-01,0315,Terra,MODIS,64,6.2,280.3,11.3,D,0
50.1292,119.2688,311.8,1.1,1,2000-11-01,0315,Terra,MODIS,72,6.2,280.1,15.4,D,0
45.9717,133.9771,303.8,3.7,1.8,2000-11-01,0315,Terra,MODIS,57,6.2,279.8,54.1,D,0
45.9654,133.9666,305.2,3.7,1.8,2000-11-01,0315,Terra,MODIS,61,6.2,279.9,63.1,D,0
44.2604,131.377,301.7,3.1,1.7,2000-11-01,0316,Terra,MODIS,48,6.2,283.8,34.1,D,0
51.5452,55.5871,300.7,1.6,1.2,2000-11-01,0811,Terra,MODIS,41,6.2,276.8,13.9,D,0
52.8296,48.2669,300.3,1,1,2000-11-01,0811,Terra,MODIS,26,6.2,271.6,6.5,D,0
52.0125,49.0128,312,1,1,2000-11-01,0811,Terra,MODIS,72,6.2,280.5,13.8,D,0
52.0713,46.8441,303.7,1,1,2000-11-01,0811,Terra,MODIS,57,6.2,280.3,8.7,D,0
51.4232,50.4222,317.3,1.1,1,2000-11-01,0811,Terra,MODIS,77,6.2,274.5,19.5,D,0
51.776,44.6159,306.5,1.1,1.1,2000-11-01,0811,Terra,MODIS,64,6.2,283.1,11.8,D,0
51.7741,44.6324,301.4,1.1,1.1,2000-11-01,0811,Terra,MODIS,47,6.2,283.4,8.1,D,0
51.7475,44.7776,311.5,1.1,1.1,2000-11-01,0811,Terra,MODIS,71,6.2,282.9,15.4,D,0
